Xref,Exhibition Week,Dist,Title,Director,Cast,Run Time,Rating,IMAX/3D,Genre,Locations at Opening,Pattern,Producer(s),Production Company,Synopsis,Release,Year of Release,Month of Release,Week of Release,Reported Gross,Competition,Wide Competition,Number of Expansions,Locations at Widest,Released During Covid?,Day & Date
64894,1/6/12,PAR,"Devil Inside, The (2012)",William Brent Bell,"Bonnie Morgan, Fernanda Andrade, Simon Quarterman",83,R, ,"Horror, Suspense",2285,Wide,"Matthew Peterman, Morris Paulson","Insurge Pictures, Room 101","While trying to help her institutionalized mother, a young woman travels to Rome where she befriends two young priests/exorcists and soon finds herself wrapped up in a world of demons, possession and madness.",1/6/12,2012,1,1,53261944,1,0,0,2285,0,0
65654,1/13/12,UNI,Contraband,Baltasar Kormákur,"Kate Beckinsale, Mark Wahlberg",110,R, ,"Suspense, Foreign",2863,Wide,"Eric Fellner, Mark Wahlberg, Stephen Levinson, Tim Bevan","Relativity Media, Working Title Films",A security guard with financial troubles considers a return to his smuggling ways when an associate offers a potentially lucrative opportunity.,1/13/12,2012,1,2,66528000,3,0,0,2863,0,0
67530,1/13/12,DIS,Beauty And The Beast (1991) (re: 2012),"Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson",84,G,3D,"Animation, Fantasy",2625,Wide,John Lasseter,Walt Disney Feature Animation,"Walt Disney Animation Studios' magical classic Beauty and the Beast returns to the big screen in Disney Digital 3D, introducing a whole new generation to the Disney classic with stunning new 3D imagery. The film captures the fantastic journey of Belle (voice of Paige O'Hara), a bright and beautiful young woman who's taken prisoner by a hideous beast (voice of Robby Benson) in his castle. Despite her precarious situation, Belle befriends the castle's enchanted staffa teapot, a candelabra and a mantel clock, among othersand ultimately learns to see beneath the Beast's exterior to discover the heart and soul of a prince.",1/13/12,2012,1,2,47617067,3,0,0,2625,0,0
65491,1/13/12,WB,Joyful Noise,Todd Graff,"Dolly Parton, Queen Latifah",118,PG13, ,"Drama, Comedy",2735,Wide,"Andrew A. Kosove, Broderick Johnson, Catherine Paura, Joseph Farrell, Michael G. Nathanson",Alcon Entertainment,Joyful Noise tells the story of an unlikely partnership between two strong-minded women who are forced to work together to save a small town Gospel Choir after budget cuts threaten to shut them down.  Music is a very important component to the story.,1/13/12,2012,1,2,30932113,3,0,0,2735,0,0
56574,1/20/12,SNY,Underworld Awakening,"Björn Stein, Måns Mårlind","Kate Beckinsale, Stephen Rea",89,R,"IMAX, 3D","Action, Fantasy",3078,Wide,"Gary Lucchesi, Len Wiseman, Richard Wright, Tom Rosenberg","Lakeshore Entertainment, Saturn Films, Screen Gems, Sketch Films","UNDERWORLD AWAKENING brings a stunning new dimension to the epic battle between Vampires and Lycans, as the first film in the franchise to shoot in 3D.  Kate Beckinsale, star of the first two films, returns in her lead role as the vampire warrioress Selene, who escapes imprisonment to find herself in a world where humans have discovered the existence of both Vampire and Lycan clans, and are conducting an all-out war to eradicate both immortal species.",1/20/12,2012,1,3,62321039,2,1,0,3078,0,0
66278,1/20/12,FOX,Red Tails,Anthony Hemingway,"Cuba Gooding Jr., Gerald McRaney",125,PG13, ,"Action, Adventure",2512,Wide,Rick McCallum, ,"The story of the Tuskegee Airmen, the first African-American pilots to fly in a combat squadron during World War II.",1/20/12,2012,1,3,49876377,2,0,0,2512,0,0
65302,1/27/12,LGF,One for the Money,Julie Anne Robinson,"Daniel Sunjata, Jason O'Mara, John Leguizamo, Katherine Heigl",91,PG13, ,"Comedy, Action",2737,Wide,"André Lamal, Gary Lucchesi, Sidney Kimmel, Tom Rosenberg, Wendy Finerman","Lakeshore Entertainment, Sidney Kimmel Entertainment, Wendy Finerman Productions","Stephanie Plum (Katherine Heigl) can't catch a break.  At 30, she finds herself newly-divorced, recently laid-off, and living with her hamster in Trenton, N.J.  Broke and desperate, she lands a job working for her slimy cousin and his bail bond business.  In need of fast cash she latches on to his biggest case  a local cop wanted for murder who just happens to be the guy that broke her heart in high school.  Stephanie gets resourceful and tough, as she is swept up in a suspenseful world of murder, deceit, with a bit of romance.",1/27/12,2012,1,4,26414527,2,0,0,2737,0,0
68216,1/27/12,LGF,Man On A Ledge,Asger Leth,"Elizabeth Banks, Jamie Bell, Sam Worthington",103,PG13, ,"Suspense, Action",2998,Wide,"Lorenzo di Bonaventura, Mark Vahradian","Di Bonaventura Pictures, Summit Entertainment","From Summit Entertainment. An ex-cop and now wanted fugitive (Sam Worthington) stands on the ledge of a high-rise building while a hard-living New York Police Department hostage negotiator (Elizabeth Banks) tries to talk him down.  The longer they are on the ledge, the more she realizes that he might have an ulterior objective.",1/27/12,2012,1,4,18620000,2,0,0,2998,0,0
64890,2/3/12,FOX,Chronicle,Josh Trank,"Alex Russell, Dane DeHaan, Michael B. Jordan",84,PG13, ,"Action, Drama",2907,Wide,"Adam Schroeder, John Davis",Davis Entertainment,"In the new century, we record, post and comment on every second of our lives, sharing our every emotion and opinion with the world, no matter how mundane. But for three friends who stumble upon a life-changing discovery, the chronicle of their ordinary lives is about to take an extraordinary turn.",2/3/12,2012,2,5,64575175,2,1,0,2907,0,0
65361,2/3/12,UNI,Big Miracle,Ken Kwapis,"Drew Barrymore, John Krasinski",101,PG, ,"Drama, Adventure",2129,Wide,"Michael Sugar, Steve Golin","Anonymous Content, DENTSU Music And Entertainment, Working Title Films","Based on the inspiring true story that captured the hearts of people across the world, the rescue adventure EVERYBODY LOVES WHALES tells the amazing tale of a small town news reporter (John Krasinski) and a Greenpeace volunteer (Drew Barrymore) who are joined by rival world superpowers to save a family of majestic gray whales trapped under the ice of the Arctic Circle.     Local newsman Adam Carlson (Krasinski) can't wait to escape the northern tip of Alaska for a bigger market.  But just when the story of his career breaks, the world comes chasing it, too. With an oil tycoon, heads of state and hungry journalists descending upon the frigid outpost, the one who worries Adam the most is Rachel Kramer (Barrymore).  Not only is she an outspoken environmentalist, she's also his ex-girlfriend.    With time running out, the unlikely coalition of Inuit whalers and Russian and American military must set aside competing agendas to rescue the baby whale and his parents.  As Rachel and Adam turn attention to the top of the globe, saving these endangered animals becomes a shared cause for nations entrenched against one another and leads to a thaw in the Cold War.",2/3/12,2012,2,5,20157300,2,0,0,2129,0,0
65653,2/10/12,UNI,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds",110,R, ,"Action, Suspense",3119,Wide,Scott Stuber,"Bluegrass Films, Intrepid Pictures, Moonlighting Films, Relativity Media, Stuber Productions","Oscar winner Denzel Washington and Ryan Reynolds star in the action-thriller Safe House. Washington plays the most dangerous renegade from the CIA, who comes back onto the grid after a decade on the run. When the South African safe house he's remanded to is attacked by mercenaries, a rookie operative (Reynolds) escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead. For the past year, Matt Weston has been frustrated by his inactive, backwater post in Cape Town. A 'housekeeper' who aspires to be a full-fledged agent, the loyal company man has been waiting for an opportunity to prove himself. When the first and only occupant he's had proves to be the most dangerous man he's ever met, Weston readies for duty.  Tobin Frost has eluded capture for almost a decade. One of the best ops men that the CIA's known, the ex-intelligence officer has given up assets and sold military intel to anyone with cash since he turned. From trading secrets to North Korea to aiding splinter cells, the damage he's done to the U.S. is immeasurable. And he's now back on the reservation with a secret.  As soon as Frost is brought in for debriefing, mercenaries come and tear apart Weston's safe house. Barely escaping, the unlikely partners must discover if their attackers have been sent by terrorists or someone on the inside who will kill anyone standing in the way. Now it's up to Weston to figure out who he can trust before they're both eliminated from the game.",2/10/12,2012,2,6,126181630,4,4,0,3119,0,0
65664,2/10/12,SNY,"Vow, The",Michael Sucsy,"Channing Tatum, Rachel McAdams",104,PG13, ,"Drama, Romance",2958,Wide,"Gary Barber, Jonathan Glickman, Paul Taublieb, Roger Birnbaum","Screen Gems, Spyglass Entertainment","A newlywed couple recovers from a car accident that puts the wife in a coma. Waking up with with severe memory loss, her husband endeavors to win her heart again.",2/10/12,2012,2,6,125014030,4,3,0,2958,0,0
64983,2/10/12,WB,Journey 2: The Mysterious Island,Brad Peyton,"Dwayne Johnson, Vanessa Hudgens",98,PG,"IMAX, 3D","Adventure, Action",3470,Wide,"Beau Flynn, Charlotte Huggins","Contrafilm, New Line Cinema, Walden Media","The follow-up to the 2008 hit. The new journey begins when young adventurer Sean (Josh Hutcherson) receives a coded distress signal from a mysterious island where no island should exista place of strange life forms, mountains of gold, deadly volcanoes, and more than one astonishing secret.  Unable to stop him from going, Sean's new stepfather (Dwayne Johnson) joins the quest.  Together with a helicopter pilot (Luis Guzman) and his beautiful, strong-willed daughter (Vanessa Hudgens), they set out to find the island, rescue its lone inhabitant and escape before seismic shockwaves force the island under the sea and bury its treasures forever.",2/10/12,2012,2,6,103899283,4,3,0,3470,0,0
64710,2/10/12,FOX,Star Wars: Episode I - Phantom Menace,George Lucas,"Ewan McGregor, Liam Neeson, Natalie Portman", ,PG,3D,"Adventure, Action",2655,Wide,Rick McCallum,LucasFilm,"For the first time ever, audiences around the world can experience 'Star Wars,' as never before, in 3D. The epic sag has captivated millions with exotic worlds, iconic characters and unforgettable action, and now fans share the theatrical phenomenon with a new generation.",2/10/12,2012,2,6,43456382,4,1,0,2655,0,0
64891,2/17/12,FOX,This Means War,McG,"Chris Pine, Reese Witherspoon, Tom Hardy", ,PG13, ,"Comedy, Action",3189,Wide,"James Lassiter, Simon Kinberg, Will Smith","Overbrook Entertainment, Robert Simonds Productions","The world's two foremost covert CIA operatives are trained assassins and master spies.  They've saved the world on countless occasions, but these partners and best friends are about to experience the one situation way beyond their formidable skills --- when they realize they're in love with the same woman.  For the now-divided duo, this means war  and they're coming at each other with an arsenal capable of bringing down a small country.",2/17/12,2012,2,7,54760791,3,0,0,3189,0,0
65477,2/17/12,SNY,Ghost Rider: Spirit Of Vengeance,"Brian Taylor, Mark Neveldine","Idris Elba, Nicolas Cage",96,PG13,3D,"Action, Fantasy",3174,Wide,"Ari Arad, Ashok Amritraj, Avi Arad, Michael De Luca, Steven Paul","Columbia Pictures, Crystal Sky Pictures, Marvel Studios", ,2/17/12,2012,2,7,51774002,3,0,0,3174,0,0
60492,2/17/12,DIS,"Secret World Of Arrietty, The (2012)",Hiromasa Yonebayashi,"Bridgit Mendler, Carol Burnett, Will Arnett",95,G, ,"Animation, Family",1522,Wide,Toshio Suzuki,Studio Ghibli,"Residing quietly beneath the floorboards are little people who live undetected in a secret world to be discovered, where the smallest may stand tallest of all. From the legendary Studio Ghibli (Spirited Away, Ponyo) comes 'The Secret World of Arrietty,' an animated adventure based on Mary Norton's acclaimed children's book series 'The Borrowers.'",2/17/12,2012,2,7,19202743,3,0,0,1522,0,0
66044,2/24/12,LGF,Tyler Perry's Good Deeds,Tyler Perry,"Thandiwe Newton, Tyler Perry",111,PG13, ,"Drama, Romance",2132,Wide,"Ozzie Areu, Paul Hall",Tyler Perry Studios,"From filmmaker Tyler Perry, Lionsgate's romantic drama GOOD DEEDS tells the story of Wesley Deeds (Perry), a successful, soon-to-be-married businessman who begins to question his predictable life when he offers help to- and eventually falls in love with- a down-on-her-luck single mother struggling to make ends meet.",2/24/12,2012,2,8,35025791,3,0,0,2132,0,0
65584,2/24/12,UNI,Wanderlust (2012),David Wain,"Jennifer Aniston, Justin Theroux, Kathryn Hahn, Malin Åkerman, Paul Rudd",98,R, ,"Comedy,",2002,Wide,"David Wain, Judd Apatow, Ken Marino, Paul Rudd","Apatow Productions, DENTSU Music And Entertainment, Relativity Media","Paul Rudd and Jennifer Aniston star in WANDERLUST, a comedy from director David Wain (Role Models) and producer Judd Apatow (Knocked Up) about a Manhattan couple who leaves the pace and pressures of the city and joins a freewheeling community where the only rule is to be who you are. Now if they could only figure out who that is...",2/24/12,2012,2,8,17288155,3,0,0,2002,0,0
57362,2/24/12,LGF,Gone (2012),Heitor Dhalia,"Amanda Seyfried, Jennifer Carpenter, Sebastian Stan",95,PG13, ,"Suspense, Horror",2186,Wide,"Chris Salvaterra, Daniel Abrams, Gary Lucchesi, Sidney Kimmel, Tom Rosenberg","Lakeshore Entertainment, Sidney Kimmel Entertainment, Summit Entertainment","From Summit Entertainment. When Jill Parrish (Amanda Seyfried) returns home from the night shift to find her sister's bed empty, she is convinced that the serial killer who kidnapped her two years before has come back to finish the job.  But the police do not believe her and Jill knows time is running out.  With no one to turn to, Jill sets off to find her sister and face her abductor once and for all.",2/24/12,2012,2,8,11682205,3,0,0,2186,0,0
56530,3/2/12,UNI,Dr. Seuss' The Lorax,"Chris Renaud, Cinco Paul, Ken Daurio","Betty White, Danny DeVito",86,PG,"IMAX, 3D","Animation, Family",3729,Wide,"Audrey Geisel, Chris Meledandri, Janet Healy, John Cohen","DENTSU Music And Entertainment, Illumination Entertainment","From producer Chris Meledandri and Illumination Entertainment, DR. SEUSS' THE LORAX is a 3D CG animation adaptation of Dr. Seuss' classic 1971 fable about a forest creature, the consequences of greed and the enduring power of hope.",3/2/12,2012,3,9,214373500,2,2,0,3729,0,0
63041,3/2/12,WB,Project X,Nima Nourizadeh,"Jonathan Daniel Brown, Oliver Cooper, Thomas Mann",88,R, ,"Comedy,",3055,Wide,Todd Phillips,"Green Hat Films, Silver Pictures","3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",3/2/12,2012,3,9,54731865,2,1,0,3055,0,0
65307,3/9/12,DIS,John Carter,Andrew Stanton,"Lynn Collins, Samantha Morton, Taylor Kitsch",132,PG13,"IMAX, 3D","Action, Adventure",3749,Wide,"Colin Wilson, Jim Morris, Susan Montford",Walt Disney Pictures,"JOHN CARTER (Taylor Kitsch), who is inexplicably transported to mysterious and exotic planet Mars, becomes embroiled in a conflict of epic proportions and discovers that the survival of the planet and its people rests in his hands.",3/9/12,2012,3,10,73078100,2,0,0,3749,0,0
64915,3/9/12,PAR,"Thousand Words, A",Brian Robbins,"Allison Janney, Ariel Winter, Eddie Murphy",91,PG13, ,"Comedy, Drama",1890,Wide,"Alain Chabat, Brian Robbins, Nicolas Cage, Norman Golightly, Sharla Sumpter, Stephanie Danan","DreamWorks SKG, Saturn Films, Varsity Pictures","Eddie Murphy is Jack McCall, a fast-talking literary agent, who can close any deal, any time, any way.  He has set his sights on New Age guru Dr. Sinja (Cliff Curtis) for his own selfish purposes. But Dr. Sinja is on to him, and Jack's life comes unglued after a magical Bodhi tree mysteriously appears in his backyard. With every word Jack speaks, a leaf falls from the tree and he realizes that when the last leaf falls, both he and the tree are toast. Words have never failed Jack McCall, but now he's got to stop talking and conjure up some outrageous ways to communicate or he's a goner.",3/9/12,2012,3,10,18450127,2,0,0,1890,0,0
65663,3/16/12,SNY,21 Jump Street,"Christopher Miller, Phil Lord","Channing Tatum, Jonah Hill",110,R, ,"Comedy, Action",3121,Wide,"Neal H. Moritz, Stephen J. Cannell","Cannell Studios, Columbia Pictures, Metro-Goldwyn-Mayer (MGM), Original Film, Relativity Media",An undercover police unit consisting of young looking officers infiltrate high schools to control youth crime.,3/16/12,2012,3,11,138523759,2,0,0,3121,0,0
66977,3/16/12,LGF,Casa De Mi Padre,Matt Piedmont,"Gael García Bernal, Will Ferrell",84,R, ,"Comedy,",382,Moderate,"Adam McKay, Andrew Steele, Darlene Caamano Loquet, Emilio Diez Barroso, Will Ferrell", ,"Armando Alvarez (Will Ferrell) has lived and worked on his father's ranch in Mexico his entire life. As the ranch encounters financial difficulties, Armando's younger brother Raul (Diego Luna), shows up with his new fiance, Sonia (Genesis Rodriguez). It seems that Raul's success as an international businessman means the ranch's troubles are over as he pledges to settle all debts his father has incurred. But when Armando falls for Sonia, and Raul's business dealings turn out to be less than legit, all hell breaks loose as they find themselves in a war with Mexico's most feared drug lord, the mighty Onza (Gael Garcia Bernal).",3/16/12,2012,3,11,5909483,2,0,0,382,0,0
60490,3/23/12,LGF,"Hunger Games, The",Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Woody Harrelson",142,PG13,IMAX,"Action, Adventure",4137,Wide,"Jon Kilik, Nina Jacobson",Color Force,"Based on the first novel of Suzanne Collins' best selling THE HUNGER GAMES trilogy.  In the ruins of what was once North America, twelve remaining districts are forced by the Capitol to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, televised for all to see. 16-year-old Katniss Everdeen becomes a contender in the Games in order to save her little sister from having to compete. Only one of the 24 contenders can survive. To win the Games and return home, Katniss must make choices that weigh survival against humanity and life against love.",3/23/12,2012,3,12,408010692,1,0,0,4137,0,0
65851,3/30/12,WB,Wrath Of The Titans,Jonathan Liebesman,"Liam Neeson, Sam Worthington",99,PG13,"IMAX, 3D","Action, Adventure",3545,Wide,"Basil Iwanyk, Polly Johnsen","Legendary Entertainment, Thunder Road Pictures","A decade after his heroic defeat of the monstrous Kraken, Perseusthe demigod son of Zeusis attempting to live a quieter life as a village fisherman and the sole parent to his 10-year old son, Helius. Meanwhile, a struggle for supremacy rages between the gods and the Titans. Dangerously weakened by humanity's lack of devotion, the gods are losing control of the imprisoned Titans and their ferocious leader, Kronos, father of the long-ruling brothers Zeus, Hades and Poseidon. The triumvirate had overthrown their powerful father long ago, leaving him to rot in the gloomy abyss of Tartarus, a dungeon that lies deep within the cavernous underworld. Perseus cannot ignore his true calling when Hades, along with Zeus' godly son, Ares (Edgar Ramirez), switch loyalty and make a deal with Kronos to capture Zeus. The Titans' strength grows stronger as Zeus' remaining godly powers are siphoned, and hell is unleashed on earth. Enlisting the help of the warrior Queen Andromeda (Rosamund Pike), Poseidon's demigod son, Argenor (Toby Kebbell), and fallen god Hephaestus (Bill Nighy), Perseus bravely embarks on a treacherous quest into the underworld to rescue Zeus, overthrow the Titans and save mankind.",3/30/12,2012,3,13,83670083,1,1,0,3545,0,0
66008,4/6/12,PAR,Titanic (1997) (re),James Cameron,"Kate Winslet, Leonardo DiCaprio", ,PG13,"IMAX, 3D","Drama, Romance",2674,Wide,"James Cameron, Jon Landau",Lightstorm Entertainment,"James Cameron's 'TITANIC' will be re-released worldwide on April 6, 2012.  The release, which marks the 100th anniversary of the Titanic setting sail (April 10th), will present the film in 3D for the first time ever.",4/4/12,2012,4,14,57884114,2,1,0,2674,0,0
64920,4/6/12,UNI,American Reunion,Jon Hurwitz,"Alyson Hannigan, Jason Biggs, Seann William Scott",113,R, ,"Comedy,",3192,Wide,"Chris Moore, Chris Weitz, Craig Perry",Relativity Media,The fourth installment of the phenomenally successful 'American Pie' comedy franchise.,4/6/12,2012,4,14,56758835,2,2,0,3192,0,0
66488,4/13/12,FOX,"Three Stooges, The","Bobby Farrelly, Peter Farrelly","Chris Diamantopoulos, Sean Hayes, Will Sasso",92,PG, ,"Comedy,",3477,Wide,Earl M. Benjamin,"Conundrum Entertainment, Harris Diversified","Left on a nun's doorstep, Larry, Curly and Moe grow up finger-poking, nyuk-nyuking and woo-woo-wooing their way to uncharted levels of knuckleheaded misadventure.  Out to save their childhood home, only The Three Stooges could become embroiled in an oddball murder plot while also stumbling into starring in a phenomenally successful TV reality show.",4/13/12,2012,4,15,44338224,2,0,0,3477,0,0
55376,4/13/12,LGF,"Cabin In The Woods, The",Drew Goddard,"Anna Hutchison, Chris Hemsworth, Franz Kranz, Kristen Connolly",95,R, ,"Horror, Suspense",2811,Wide,Joss Whedon,"Metro-Goldwyn-Mayer (MGM), Mutant Enemy","While visiting a quaint cabin in the woods, a group of friends scratch the surface of something so massive and horrific that they can only begin to fathom it as time quickly runs out on them.",4/13/12,2012,4,15,42073277,2,0,0,2811,0,0
64930,4/20/12,SNY,Think Like A Man,Tim Story,"Chris Brown, Kevin Hart",122,PG13, ,"Comedy, Romance",2015,Wide,Will Packer,"Rainforest Films, Screen Gems","Based on Steve Harvey's best-selling book, Think Like a Man follows four interconnected and diverse men whose love lives are shaken up after the ladies they are pursuing buy Harvey's book and start taking his advice to heart",4/20/12,2012,4,16,91547205,4,1,0,2015,0,0
66396,4/20/12,WB,"Lucky One, The (2012)",Scott Hicks,"Taylor Schilling, Zac Efron",101,PG13, ,"Drama, Romance",3155,Wide,"Denise Di Novi, Kevin McCormick","DiNovi Pictures, Langley Park Pictures, Village Roadshow Pictures","Based on a Nicholas Sparks' novel.  Logan Thibault, a Marine who's survived three tours of Iraq, attributes his good luck to a photograph he carried of a woman he doesn't even know. When he returns to the States, he sets out to find her.",4/20/12,2012,4,16,60457138,4,0,0,3155,0,0
68748,4/20/12,DIS,Chimpanzee,"Alastair Fothergill, Mark Linfield",,78,G, ,"Documentary, Foreign",1563,Wide,"Alastair Fothergill, Alix Tidmarsh","Blacklight Films, Disneynature","Disneynature takes moviegoers deep into the forests of Africa with 'Chimpanzee,' a new True Life Adventure introducing an adorable young chimpanzee named Oscar and his entertaining approach to life in a remarkable story of family bonds and individual triumph.  Oscar's playful curiosity and zest for discovery showcase the intelligence and ingenuity of some of the most extraordinary personalities in the animal kingdom. Working together, Oscar's chimpanzee family - including his mom, Isha, and the group's savvy leader, Freddy - navigates the complex territory of the forest.",4/20/12,2012,4,16,28972764,4,0,0,1563,0,0
67004,4/20/12,WB,To the Arctic 3D,Greg MacGillivray,Meryl Streep,40,G,"IMAX, 3D","Documentary,",50,Limited,"Greg MacGillivray, Shaun Macgillivray", ,"To The Arctic takes you on a never before seen journey into the lives of a mother polar bear and her two seven-month old cubs as they navigate the changing Arctic wilderness they call home. Captivating, adventurous, and intimate footage brings you up close and personal with this family's struggle to survive and thrive in a frigid environment of melting ice, immense glaciers, spectacular waterfalls, and majestic snow-bound peaks.  Captivating, adventurous and intimate footage brings moviegoers up close and personal with this family's struggle to survive in a frigid environment of melting ice, immense glaciers, spectacular waterfalls, and majestic snow-bound peaks.",4/20/12,2012,4,16,14531134,4,0,0,50,0,0
56908,4/27/12,SNY,"Pirates! Band of Misfits, The",Peter Lord,"Brendan Gleeson, Hugh Grant",88,PG,3D,"Animation, Adventure",3358,Wide,"David Sproxton, Julie Lockhart, Peter Lord","Aardman Animations, Columbia Pictures, Sony Pictures Animation",An animated features about a hapless band of pirates compete for the Pirate of the Year award.,4/27/12,2012,4,17,31051126,3,0,0,3358,0,0
66208,4/27/12,UNI,"Five-Year Engagement, The",Nicholas Stoller,"Emily Blunt, Jason Segel",124,R, ,"Comedy, Romance",2936,Wide,"Judd Apatow, Nicholas Stoller, Rodney Rothman","Apatow Productions, DENTSU Music And Entertainment","The director and writer/star of Forgetting Sarah Marshall reteam for the irreverent comedy The Five-Year Engagement.  Beginning where most romantic comedies end, the new film from director Nicholas Stoller, producer Judd Apatow (Knocked Up, Bridesmaids) and Rodney Rothman (Get Him to the Greek) looks at what happens when an engaged couple, played by Jason Segel and Emily Blunt, keeps getting tripped up on the long walk down the aisle.  The film was written by Segel and Stoller.",4/27/12,2012,4,17,28700285,3,0,0,2936,0,0
58745,4/27/12,LGF,Safe (2012),Boaz Yakin,"Catherine Chan, Jason Statham",95,R, ,"Action, Suspense",2266,Wide,"Dana Brunetti, Lawrence Bender","8711 Productions, Automatik Entertainment, Current Entertainment, IM Global, Lawrence Bender Productions, Trigger Street Productions","A former elite agent encounters and rescues a twelve-year-old Chinese girl who's been abducted by the Triads. Armed with a safe-cracking combination, they find themselves in the middle of a stand-off between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",4/27/12,2012,4,17,17142080,3,0,0,2266,0,0
55514,5/4/12,DIS,Marvel's The Avengers,Joss Whedon,"Chris Evans, Robert Downey  Jr.",143,PG13,"IMAX, 3D","Action, Adventure",4349,Wide,Kevin Feige,Marvel Studios,"Marvel Studios presents MARVEL'S THE AVENGERS - the Super Hero team of a lifetime, featuring iconic Marvel Super Heroes Iron Man, The Incredible Hulk, Captain America, Hawkeye and Black Widow. When an unexpected enemy emerges that threatens global safety and security, nick Fury, Director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins.",5/4/12,2012,5,18,623357910,1,1,0,4349,0,0
64984,5/11/12,WB,Dark Shadows,Tim Burton,"Johnny Depp, Michelle Pfeiffer",113,PG13,IMAX,"Comedy, Horror",3755,Wide,"Christi Dembrowski, David Kennedy, Graham King, Johnny Depp, Richard D. Zanuck","Dan Curtis Productions, GK Films, Infinitum Nihil","Director Tim Burton brings the cult classic series 'Dark Shadows' to the big screen in a gothic comedy featuring an all-star cast, led by Johnny Depp, Michelle Pfeiffer and Helena Bonham Carter. Director Tim Burton brings the cult classic series 'Dark Shadows' to the big screen in a gothic comedy featuring an all-star cast, led by Johnny Depp, Michelle Pfeiffer and Helena Bonham Carter.  In the year 1752, Joshua and Naomi Collins, with young son Barnabas, set sail from Liverpool, England to start a new life in America. But even an ocean was not enough to escape the mysterious curse that has plagued their family. Two decades pass and Barnabas (Johnny Depp) has the world at his feetor at least the town of Collinsport, Maine. The master of Collinwood Manor, Barnabas is rich, powerful and an inveterate playboyuntil he makes the grave mistake of breaking the heart of Angelique Bouchard (Eva Green). A witch, in every sense of the word, Angelique dooms him to a fate worse than death: turning him into a vampire, and then burying him alive. Two centuries later, Barnabas is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate has fallen into ruin. The dysfunctional remnants of the Collins family have fared little better, each harboring their own dark secrets. Matriarch Elizabeth Collins Stoddard (Michelle Pfeiffer) has called upon live-in psychiatrist, Dr. Julia Hoffman (Helena Bonham Carter), to help with her family troubles. Also residing in the manor is Elizabeth's ne'er-do-well brother, Roger Collins, (Jonny Lee Miller); her rebellious teenage daughter Carolyn Stoddard (Chloe Moretz); and Roger's precocious 10-year-old son, David Collins (Gulliver McGrath). The mystery extends beyond the family, to caretaker Willie Loomis, played by Jackie Earle Haley, and David's new nanny, Victoria Winters, played by Bella Heathcote.",5/11/12,2012,5,19,79743182,2,0,0,3755,0,0
64519,5/11/12,LGF,Girl In Progress,Patricia Riggen,"Eva Mendes, Matthew Modine",90,PG13, ,"Comedy, Drama",322,Limited,"Benjamin Odell, John Fiedler", ,"From Pantelion Films and Lionsgate.  Grace (Eva Mendes) is a single mom. She is too busy juggling work, bills, and the very married Dr. Hartford (Matthew Modine), to give her daughter, Ansiedad (Cierra Ramirez) the attention she desperately needs. When Ansiedad's English teacher, Ms. Armstrong (Patricia Arquette), introduces her students to classic coming-of-age stories, Ansiedad is inspired to skip adolescence and jump-start her life without mom. While Grace becomes preoccupied with the increasing affections of her co-worker (Eugenio Derbez), Ansiedad enlists the help of her loyal friend, Tavita (Raini Rodriguez), to plot her shortcut to 'adulthood'. But as her misguided plan unravels, Ansiedad and Grace must learn that sometimes growing-up means acting your age.",5/11/12,2012,5,19,2609412,2,0,0,322,0,0
