Xref,Exhibition Week,Dist,Title,Director,Cast,Run Time,Rating,IMAX/3D,Genre,Locations at Opening,Pattern,Producer(s),Production Company,Synopsis,Release,Year of Release,Month of Release,Week of Release,Reported Gross,Competition,Wide Competition,Number of Expansions,Locations at Widest,Released During Covid?,Day & Date
119979,5/25/18,DIS,Solo: A Star Wars Story,Ron Howard,"Alden Ehrenreich, Donald Glover, Emilia Clarke",135,PG13,"IMAX, 3D","Adventure, Action",4381,Wide,"Allison Shearmur, Kathleen Kennedy, Simon Emanuel","Allison Shearmur Productions, LucasFilm","Board the Millennium Falcon and journey to a galaxy far, far away in SOLO: A STAR WARS STORY, an all-new adventure with the most beloved scoundrel in the galaxy. Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo befriends his mighty future copilot Chewbacca and meets the notorious gambler Lando Calrissian, in a journey that will set the course of one of the Star Wars saga's most unlikely heroes.",5/25/18,2018,5,21,213767512,1,1,0,4381,0,0
133280,6/1/18,PAR,Action Point,Tim Kirkby,"Johnny Knoxville,Chris Pontius",85,R, ,"Comedy, Adventure",2032,Wide,"Bill Gerber, Derek Freda, Johnny Knoxville","Dickhouse Entertainment, Gerber Pictures","Everyone's favorite daredevil Johnny Knoxville is back to his hilariously painful antics in the comedy ACTION POINT. Knoxville stars as D.C., the crackpot owner of a low-rent, out-of-control amusement park where the rides are designed with minimum safety for maximum fun. Just as D.C.'s estranged teenage daughter Boogie comes to visit, a corporate mega-park opens nearby and jeopardizes the future of Action Point. To save his beloved theme park and his relationship with his daughter, D.C. and his loony crew of misfits risk everything to pull out all the stops -- and stunts -- making for another wild ride from the star of BAD GRANDPA and JACKASS.",6/1/18,2018,6,22,5059608,1,0,0,2032,0,0
128879,6/8/18,WB,Ocean's 8,Gary Ross,"Anne Hathaway, Cate Blanchett, Sandra Bullock",110,PG13,IMAX,"Action, Comedy",4145,Wide,"Gary Ross, Gregory Jacobs, Steven Soderbergh, Susan Ekins","Jerry Weintraub Productions, Larger Than Life Productions","Five years, eight months, 12 days and counting -- that's how long Debbie Ocean has been devising the biggest heist of her life. She knows what it's going to take -- a team of the best people in the field, starting with her partner-in-crime Lou Miller. Together, they recruit a crew of specialists, including jeweler Amita, street con Constance, suburban mom Tammy, hacker Nine Ball, and fashion designer Rose. Their target -- a necklace that's worth more than $150 million.",6/8/18,2018,6,23,140295726,1,1,0,4145,0,0
123715,6/15/18,DIS,Incredibles 2,Brad Bird,"Craig T. Nelson, Holly Hunter",118,PG,"IMAX, 3D","Animation, Action",4410,Wide,"John Walker, Nicole Paradis Grindle",Pixar Animation Studios,"In INCREDIBLES 2, Helen (voice of Holly Hunter) is called on to lead a campaign to bring Supers back, while Bob (voice of Craig T. Nelson) navigates the day-to-day heroics of 'normal' life at home with Violet (voice of Sarah Vowell), Dash (voice of Huck Milner) and baby Jack-Jack--whose superpowers are about to be discovered. Their mission is derailed, however, when a new villain emerges with a brilliant and dangerous plot that threatens everything. But the Parrs don't shy away from a challenge, especially with Frozone (voice of Samuel L. Jackson) by their side. That's what makes this family so Incredible.",6/15/18,2018,6,24,608581744,3,2,0,4410,0,0
137394,6/15/18,WB,Tag,Jeff Tomsic,"Ed Helms, Hannibal Buress, Jake Johnson, Jeremy Renner, Jon Hamm",100,R, ,"Comedy,",3382,Wide,"Mark Steilen, Sean Robins, Todd Garner",Broken Road Productions,"One month every year, five highly competitive friends hit the ground running for a no-holds-barred game of tag -- risking their necks, their jobs and their relationships to take one another down. This time, the game coincides with the wedding of the only undefeated player. What should be an easy target soon becomes an all-out war as he knows they're coming to get him.",6/15/18,2018,6,24,54730625,3,1,0,3382,0,0
140492,6/15/18,SNY,Superfly,Director X,"Jason Mitchell, Trevor Jackson",116,R, ,"Action, Drama",2220,Wide,"Future, Joel Silver",Silver Pictures,"SUPERFLY -- the film that helped define a genre in its characters, look, sound, and feel -- is reimagined with Director X, director of legendary music videos (Drake, Rihanna), introducing it to a new generation.",6/13/18,2018,6,24,20545116,3,0,0,2220,0,0
121863,6/22/18,UNI,Jurassic World: Fallen Kingdom,Juan Antonio Bayona,"Bryce Dallas Howard, Chris Pratt",128,PG13,"IMAX, 3D","Action, Adventure",4475,Wide,"Barry Waldman, Belén Atienza, Frank Marshall, Patrick Crowley, Thomas Tull","Amblin Entertainment, Kennedy/Marshall Company, The, Legendary Entertainment","With all of the wonder, adventure and thrills synonymous with one of the most popular and successful franchises in cinema history, this all-new motion-picture event sees the return of favorite characters and dinosaursa'along with new breeds more awe-inspiring and terrifying than ever before.  Welcome to JURASSIC WORLD: FALLEN KINGDOM.",6/22/18,2018,6,25,417944590,1,1,0,4475,0,0
140032,6/29/18,SNY,Sicario: Day Of The Soldado,Stefano Sollima,"Benicio Del Toro, Catherine Keener, Josh Brolin, Matthew Modine",122,R, ,"Action, Drama",3055,Wide,"Basil Iwanyk, Edward McDonnell, Molly Smith, Thad Luckinbill, Trent Luckinbill","Black Label Media, Maple Shade Films, Rai Cinema, Thunder Road Pictures","In SICARIO: DAY OF THE SOLDADO, the series begins a new chapter.  In the drug war, there are no rules -- and as the cartels have begun trafficking terrorists across the US border, federal agent Matt Graver (Josh Brolin) calls on the mysterious Alejandro (Benicio Del Toro), whose family was murdered by a cartel kingpin, to escalate the war in nefarious ways. Alejandro kidnaps the kingpin's daughter to inflame the conflict -- but when the girl is seen as collateral damage, her fate will come between the two men as they question everything they are fighting for.",6/29/18,2018,6,26,50072235,2,0,0,3055,0,0
138680,6/29/18,LGF,Uncle Drew,Charles Stone III,"Kyrie Irving, Lil Rel Howery, Tiffany Haddish",103,PG13, ,"Comedy,",2742,Wide,"John Fischer, Marty Bowen, Wyck Godfrey",Temple Hill Entertainment,"After draining his life savings to enter a team in the Rucker Classic street ball tournament in Harlem, Dax (LilRel Howery) is dealt a series of unfortunate setbacks, including losing his team to his longtime rival (Nick Kroll).  Desperate to win the tournament and the cash prize, Dax stumbles upon the man, the myth, the legend Uncle Drew (NBA All-Star Kyrie Irving) and convinces him to return to the court one more time. The two men embark on a road trip to round up Drew's old basketball squad (Shaquille O'Neal, Chris Webber, Reggie Miller, Nate Robinson, and Lisa Leslie) and prove that a group of septuagenarians can still win the big one.",6/29/18,2018,6,26,42469946,2,0,0,2742,0,0
123713,7/6/18,DIS,Ant-Man And The Wasp,Peyton Reed,"Evangeline Lilly, Paul Rudd",118,PG13,"IMAX, 3D","Action, Adventure",4206,Wide,Kevin Feige,Marvel Studios,"In the aftermath of CAPTAIN AMERICA: CIVIL WAR, Scott Lang grapples with the consequences of his choices as both a Super Hero and a father. As he struggles to re-balance his home life with his responsibilities as Ant-Man, he's confronted by Hope van Dyne and Dr. Hank Pym with an urgent new mission. Scott must once again put on the suit and learn to fight alongside The Wasp as the team works together to uncover secrets from their past.",7/6/18,2018,7,27,216648740,2,2,0,4206,0,0
133145,7/6/18,UNI,"First Purge, The (2018)",Gerard McMurray,"Joivan Wade, Lex Scott Davis, Y'lan Noel",98,R, ,"Horror,",3031,Wide,"Andrew Form, Bradley Fuller, James DeMonaco, Jason Blum, Michael Bay, Sebastien Lemercier","Blumhouse Productions, Perfect World Pictures, Platinum Dunes, Universal Pictures","Behind every tradition lies a revolution.  Next Independence Day, witness the rise of our country's 12 hours of annual lawlessness.  Welcome to the movement that began as a simple experiment: THE FIRST PURGE. To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America (NFFA) test a sociological theory that vents aggression for one night in one isolated community.  But when the violence of oppressors meets the rage of the marginalized, the contagion will explode from the trial-city borders and spread across the nation.",7/4/18,2018,7,27,69613425,2,2,0,3031,0,0
124103,7/13/18,SNY,Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez",97,PG,3D,"Animation, Comedy",4267,Wide,Michelle Murdocca,Sony Pictures Animation,"In Sony Pictures Animation's Hotel Transylvania 3: Summer Vacation, join our favorite monster family as they embark on a vacation on a luxury monster cruise ship so Drac can take a summer vacation from providing everyone else's vacation at the hotel. It's smooth sailing for Drac's Pack as the monsters indulge in all of the shipboard fun the cruise has to offer, from monster volleyball to exotic excursions, and catching up on their moon tans. But the dream vacation turns into a nightmare when Mavis realizes Drac has fallen for the mysterious captain of the ship, Ericka, who hides a dangerous secret that could destroy all of monsterkind.",7/13/18,2018,7,28,166233632,2,2,0,4267,0,0
136089,7/13/18,UNI,Skyscraper,Rawson Marshall Thurber,"Dwayne Johnson,Byron Mann",102,PG13,3D,"Action, Suspense",3782,Wide,"Beau Flynn, Dwayne Johnson, Hiram Garcia, Mary Parent, Rawson Marshall Thurber","7 Bucks Entertainment, Flynn Picture Co., Legendary Entertainment","Global icon Dwayne Johnson leads the cast of Legendary's SKYSCRAPER as former FBI Hostage Rescue Team leader and U.S. war veteran Will Ford, who now assesses security for skyscrapers.  On assignment in China he finds the tallest, safest building in the world suddenly ablaze, and he's been framed for it.  A wanted man on the run, Will must find those responsible, clear his name and somehow rescue his family who is trapped inside the building...above the fire line.",7/13/18,2018,7,28,68420120,2,1,0,3782,0,0
137484,7/20/18,UNI,Mamma Mia! Here We Go Again,Ol Parker,"Amanda Seyfried, Julie Walters, Meryl Streep",114,PG13,IMAX,"Musical, Comedy",3317,Wide,"Gary Goetzman, Judy Craymer","DENTSU Music And Entertainment, Littlestar Productions, Playtone","Get ready to sing and dance, laugh and love all over again. Ten years after MAMMA MIA! THE MOVIE grossed more than $600 million around the world, you are invited to return to the magical Greek island of Kalokairi in an all-new original musical based on the songs of ABBA. With the film's original cast expected to return and new additions joining them, MAMMA MIA: HERE WE GO AGAIN! will delight audiences when it opens on July 20, 2018. With a soundtrack full of ABBA songs not featured in the first film - along with some reprised favorites - MAMMA MIA: HERE WE GO AGAIN! once more brings the producers of the original film, Littlestar's Judy Craymer and Playtone's Gary Goetzman, together. Craymer is also the creator and producer of the smash-hit stage musical.",7/20/18,2018,7,29,120634935,3,3,0,3317,0,0
121200,7/20/18,SNY,"Equalizer 2, The",Antoine Fuqua,"Denzel Washington,Abigail Marlowe",121,R,IMAX,"Action, Suspense",3388,Wide,"Alex Siskin, Denzel Washington, Jason Blumenthal, Mace Neufeld, Steve Tisch, Todd Black, Tony Eldridge","Columbia Pictures, Escape Artists, Lonetree Entertainment, Zhiv Productions",Denzel Washington returns to one of his signature roles in the first sequel of his career. Robert McCall serves an unflinching justice for the exploited and oppressed -- but how far will he go when that is someone he loves?,7/20/18,2018,7,29,102084362,3,3,0,3388,0,0
143344,7/20/18,LGF,Blindspotting,Carlos López Estrada,"Daveed Diggs, Janina Gavankar, Rafael Casal, Utkarsh Ambudkar",95,R, ,"Comedy, Drama",14,Limited,"Daveed Diggs, Jessica Calder, Keith Calder, Rafael Casal", ,Lifelong friends Daveed Diggs and Rafael Casal co-wrote and star in this timely and wildly entertaining story about the intersection of race and class set against the backdrop of a rapidly gentrifying Oakland.,7/20/18,2018,7,29,4333394,3,2,1,523,0,0
131311,7/27/18,PAR,Mission: Impossible - Fallout,Christopher McQuarrie,"Tom Cruise,Alec Baldwin",147,PG13,"IMAX, 3D","Action, Adventure",4386,Wide,"Christopher McQuarrie, J.J. Abrams, Jake Myers, Tom Cruise","Bad Robot, Paramount Pictures, Skydance Productions","The best intentions often come back to haunt you. Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",7/27/18,2018,7,30,220159104,3,2,0,4386,0,0
136487,7/27/18,WB,Teen Titans Go! To The Movies,"Aaron Horvath, Peter Rida Michail","Kristen Bell, Nicolas Cage, Will Arnett",88,PG, ,"Animation, Action",3188,Wide,"Peggy Regan, Peter Rida Michail, Will Arnett","Cartoon Network, DC Entertainment, Warner Bros. Animation","When the Teen Titans go to the big screen, they go big! TEEN TITANS GO! to the Movies finds our egocentric, wildly satirical Super Heroes in their first feature film extravaganza--a fresh, gleefully clever, kid-appropriately crass and tongue-in-cheek play on the superhero genre, complete with musical numbers.",7/27/18,2018,7,30,29803320,3,1,0,3188,0,0
123712,8/3/18,DIS,Disney's Christopher Robin,Marc Forster,"Ewan McGregor, Hayley Atwell",104,PG, ,"Family,",3602,Wide,Brigham Taylor,TaylorMade Productions,"Disney's CHRISTOPHER ROBIN is directed by Marc Forster from a screenplay by Alex Ross Perry and Allison Schroeder and a story by Perry based on characters created by A.A. Milne. The producers are Brigham Taylor and Kristin Burr with Renee Wolfe and Jeremy Johns serving as executive producers. The film stars Ewan McGregor as Christopher Robin; Hayley Atwell as his wife Evelyn; Bronte Carmichael as his daughter Madeline; and Mark Gatiss as Keith Winslow, Robin's boss. The film also features the voices of: Jim Cummings as Winnie the Pooh; Chris O'Dowd as Tigger; Brad Garrett as Eeyore; Toby Jones as Owl; Nick Mohammed as Piglet; Peter Capaldi as Rabbit; and Sophie Okonedo as Kanga.",8/3/18,2018,8,31,99215042,3,1,0,3602,0,0
